"","names","indirizzi","cap"
"1584","Rhome immobiliare","ZONA COLOSSEO - via Celimontana -  17b ",184
"1585","Gr Case","Via Leonetto Cappiello 41",125
"1586","Andrea Lista","Via Giuseppe Berto .",142
"1587","arione consulting s.r.l.","
",NA
"1588","Mediazioni Immobiliari EB","Livenza 7",198
"1589","IMMOBILIARE ÀNCORA","Viale Garibaldi 16",69
"1590","Di Zeta Immobiliare ","Via Settevene Palo  197",52
"1591","Quality Immobiliare Nuova Portuense srl","Via P. Venturi 37",149
"1592","BdB Real Estate ","via margutta 34",187
"1593","Soluzione Casa","Via Cremona 39",161
"1594","Santa Barbara ","Via Gadames 15",199
"1595","GILLET","VIALE PARIOLI 72",197
"1596","FLAVIA CASE DI FLAVIA MAZZOCCA","Piazza Delle Muse  7",197
"1597","MF Immobiliare","Via Antonio Cantone 17",123
"1598","Urbana Immobiliare","via Urbana 60",184
"1599","Immobiliare 2006 ","via Sampiero di bastelica 131",176
"1600","Italiancase","Pietro Ottoboni 18/20",159
"1601","Gestioni Immobiliari","Via Antonio Salandra 18",187
"1602","GPR Immobiliare","Caio Manilio 23/25",174
"1603","Affiliato Tecnocasa: UNIVERSITA' S.R.L.","Via Catania 48",161
"1604","FD Immobiliare S.r.l.","via antonio serra 47",191
"1605","Sant'Angelo Servizi","Via Pellegrino Matteucci 104 L",154
"1606","Affiliato Tecnorete: IMMOBILIARE CASTELLANI S.R.L.","via giorgio enrico falck 5",155
"1607","InvestiRE SGR S.p.A.","Via Po 16/A",198
"1608","Affiliato Tecnocasa: IMMOBILIARE OSTIA 2015 S.R.L.S","VIA DELLE GONDOLE  86",121
"1609","Enrico Maria Di Carmine","Via Laurentina 25",40
"1610","home sweet home srl","Via Tolosa  7",40
"1611","Mat-Man srl","Viale Cortina d'Ampezzo 221",135
"1612","Affiliato Tecnocasa: STUDIO MONTEVERDE VECCHIO 3 S.R.L.","VIA GIACINTO CARINI 65",152
"1613","gruppo immobiliare real estate srl","via sabotino 45",195
"1614","Studio Ruzzetti Srl","Via dell'Orso 91",186
"1615","Studio Lionello","Via Donna Olimpia 134",152
"1616","Casa italia Srl","Via Acquedotto del Peschiera 116",135
"1617","Affiliato Tecnocasa: STUDIO SMA UNO S.R.L. SOCIO UNICO","VIA DI SANTA MARIA AUSILIATRICE 24",181
"1618","IMMOBILIARE COLOSSEO snc","via Celimontana 22/A",184
"1619","AFFILIATO TECNOCASA: Nettuno Mediazioni","via Cavour  1C",48
"1620","Nuove Proposte Immobiliari","Via Napoli 51/C",55
"1621","Studio Immobiliare Iori","via valnerina 58",199
"1622","Professionecasa - MARCONI","VIA ANTONIO PACINOTTI 15",146
"1623","Kant Case s.a.s.","Viale Marx 158 / 160",137
"1624","Martinoja Studio Immobiliare","via dandolo 84",153
"1625","Jessica Sandolo","Viale B. Buozzi  82",197
"1626","sisca immobiliare","via reggio emilia  29",198
"1627","LA CASA agency - LARIANO - AGENZIA VELLETRI 2000 SRL ","Via Roma 152",40
"1628","Consulenze Immobiliari e Creditizie S.r.l.","Via Ferdinando Palasciano 23",151
"1629","Affiliato Tecnocasa: STUDIO IMMOBILIARE GREGORIO VII S.R.L.","Via Gregorio VII 286",165
"1630","Di Salvo Immobiliare","Via Annia Regilla 238",178
"1631","SARNI IMMOBILIARE","Via Attilio Spaccarelli  46",163
"1632","Milani Immobiliare","Via Nemorense 37",199
"1633","Bonifazi RM001","Via Maddalena Di Canossa 30/32",151
"1634","Deka Immobiliare","Via Cogoleto 96",168
"1635","studio immobiliare real estate srl","via sabotino 45",195
"1636","riviera immobiliare srl","via flaminia 393/c",197
"1637","Gruppo Unica Re Agency agenzia Roma 2","via Cornelio Nepote 21",136
"1638","Studio Morelli - Divisione Immobiliare","via giovanni maria lancisi 31",161
"1639","Finim Real Estate Srl","Viale Del Tintoretto 88",142
"1640","Servizi immobiliari","via piagge 1",138
"1641","Golding Immobiliare","Viale Della Grande Muraglia  234/236",144
"1642","Casa Mia Immobiliare","Via Pompeo Magno 78",192
"1643","MASSACCI SRL","VIA FRIGGERI ATTILIO 142",136
"1644","Elena Canali","Via Cremera 8",198
"1645","adm immobiliare ","VIA COGOLETO  64/66",168
"1646","Antoniucci Roberto","Viale dei Colli Portuensi  38",151
"1647","Affiliato Tecnocasa: STUDIO CENTRO STORICO 1 S.R.L.","CORSO VITTORIO EMANUELE II 196",186
"1648","CASABIS","Via Calcinaia 55",139
"1649","giuseppe scuccimarri","Via Radiotelegrafisti 43",143
"1650","Emme Immobiliare srl","Via di Castel di Leva 269F",134
"1651","Ditta Individuale di Francesca Carboni","_________ ____",189
"1652","STIM - Studio Immobiliare","Via Taranto  21",182
"1653","Caber Group","Via Lorenzo il Magnifico 36A",162
"1654","Solo Affitti - Agenzia di Roma 17 - Ponte Milvio / Vigna Clara","Via della Farnesina 125",135
"1655","Affiliato Tecnocasa: STUDIO LANCIANI S.R.L.","VIA IGNAZIO GIORGI  53",162
"1656","Coanim","Piazza Cola di Rienzo 69",192
"1657","Farina Immobiliare","Via del Labaro 151",188
"1658","Affiliato Frimm 1271 - Studio Aurelio S.R.L.","Via Baldo degli Ubaldi 175",167
"1659","IMMOBILIARE APPIO CLAUDIO S.R.L.","VIA LUCIO PAPIRIO 53",174
"1660","Affiliato Tecnocasa: STUDIO RE DI ROMA S.R.L.","Via Aosta  77",182
"1661","DIMENSIONE CASA SRL","via adolfo gandiglio 127",151
"1662","TETI RE","via bartolomeo cristofori 13",146
"1663","CIN Immobiliare Srl","via Fabio Massimo 57",192
"1664","EMMEGIMMOBILIARE 2","Via Sabiniano 27",165
"1665","COLANTONI IMMOBILIARE ","CORSO REGINA MARIA PIA 6-8",122
"1666","Montagnola Grottaperfetta S.r.l.","Via Guido De Ruggiero  40 ",142
"1667","Network Immobiliare Roma","via ferdinando di savoia  3",196
"1668","Affiliato Tecnocasa: T&AM LUCHINO ","VIA LUCHINO DAL VERME 185",176
"1669","Affiliato Tecnorete: IMMOBILIARE TIBURTINA S.R.L.","VIA DELLE CAVE DI PIETRALATA 11/B",159
"1670","Affiliato Tecnocasa: STUDIO S. PAOLO '95 S.R.L.","via g. chiabrera 70",145
"1671","Gruppo ME.CI. S.r.l.","Piazza Farnese  44",186
"1672","Gabetti Appio","Via Appia Nuova  227",183
"1673","Solo Affitti - Roma 6 - Ostia Domus di Silvestri Emiliano ","Corso Regina Maria Pia 57",122
"1674","C.I.MA. Immobiliare di Cultraro Guido","via Clarice Marescotti 13",151
"1675","Affiliato Tecnocasa: IMMOBILIARE CASTANI S.R.L.","Via dei Castani 248",171
"1676","TEMPOCASA affiliato roma Centocelle","via dei faggi  131",172
"1677","SIMONETTA TUA","VIA CHERUBINO MALPELI  19",128
"1678","Gabetti Franchising  Roma - Esquilino Monti GI.MA","via merulana 75",185
"1679","Scarfò Immobiliare","piazza Garibaldi 13",42
"1680","MEDIAZIONI IMMOBILIARI","VIA FABRIZIO QUATTROCCHI 18",34
"1681","IMMOBILIARE INTERDOMUS S.R.L.","viale vespasiano 48",192
"1682","Gabetti - Agenzia Salario - ROMA","Via Montaione 86",139
"1683","ISTITUTO IMMOBILIARE DI ROMA","Via gigi chessa 488",125
"1684","R1 Immobiliare","Piazza Ragusa 43",182
"1685","Affiliato Tecnocasa: STUDIO ESPERO 2 S.R.L.","Via Val D'Ossola 104",141
"1686","Affiliato Tecnocasa: STUDIO JONIO 3 S.R.L.","V.LE JONIO 370",141
"1687","ZUCCARO Servizi Immobiliari","Via Andrea Doria 15",192
"1688","carlo tumbarello","via sarsina 104",127
"1689","Gruppo Sole R.E. S.N.C.","Piazza di Villa Carpegna  57",165
"1690","ciemme consulenze immobiliari","via Eusebio Chini 49",147
"1691","Edil Proget sas","Via Umberto Giordano 95",124
"1692","CARROZZO ROBERTA IMMOBILIARE","VIA E. FILIBERTO 130",185
"1693","La Maison du Roy Real Estate Services di Marina Rozenberg ","Via Ormisda 10/A",165
"1694","Studio Immobiliare ","Viale Delle Accademie 79",147
"1695","Affiliato Tecnocasa: CASAL DEL MARMO 2013 S.R.L.","via di casal del marmo 272",135
"1696","PIANETA CASA IMMOBILIARE","Via Coni Zugna 3/a",54
"1697","Coinvest Immobiliare","Piazza Michele Lega 8",40
"1698","AFFIX AM IMMOBILIARE SRL","via delle costellazioni 371",144
"1699","Affiliato Tecnocasa: BALDUINA MEDIAZIONI S.R.L.","Via Quinzio Atta 14/16",136
"1700","Affiliato Tecnorete: BOLOGNA S.R.L.","via lorenzo il magnifico 76",162
"1701","SOQQUADRO SRL","VIA M.DI VEROLI 2",199
"1702","ABACUS IMMOBILIARE S.r.l","VIA DELLA GIULIANA  82",192
"1703","Cercase Srl","Via Francesco Laparelli 49",176
"1704","COLDWELLBANKER Stella Beshirja Great Properties","Via Muzio Clementi 64",193
"1705","Agim di Velia Sanzone","via della Selvotta 7/8",60
"1706","Vanoli Case","Via Degli Olmetti 18/B 6/1",60
"1707","Unica Immobiliare  ","Via Roma 69",40
"1708","LS Immobiliare di Livia Strano","via Panama  88",198
"1709","Affiliato Tecnorete: IMMOBILIARE LANCIANI S.R.L.","Via Ignazio Giorgi 57/59",162
"1710","Studio Immobiliare Abitando","Via degli Olmetti, Formello(RM) 5",60
"1711","AD IMMOBILIARE","via antonio bertoloni 27",197
"1712","Studio Appio Claudio S.R.L.","Viale Anicio Gallo, 88 88",174
"1713","Finedim Srl","via silvio pellico 10",195
"1714","STUDIO PROFESSIONALE IMMOBILIARE","VIA G.G.BELLI 96",193
"1715","UNIREGuidonia Centro","Viale Roma 149C",12
"1716","Vite Immobiliare","Via della Vite 7",187
"1717","FEDERICICASE DI FEDERICI ERMINIO","via castiglione di sicilia 36",133
"1718","Costantini Spa","Largo Ignazio Iacometti 4",196
"1719","AGENZIA IMMOBILIARE INNAMORATI LUISA","Via delle Costellazioni 305",144
"1720","Studio Immobiliare Lauriola Michele","Via Gennaro Righelli 55",137
"1721","Royal Agency snc","Via Napoli 89",40
"1722","lb immobiliare","circ.ne tuscolana  80",174
"1723","TIZIANA MOLINARI IMMOBILIARE","Via Euripide  28",125
"1724","SOLUZIONE CASA","piaza re di roma 52",182
"1725","Affiliato Tecnorete: STUDIO TRIESTE 3 S.R.L.","corso trieste 74",198
"1726","Jurupa Capital SPA","Via di Grotte Portella 34",44
"1727","Immobiliare Meligeni S.R.L.","Via Federico Cesi 21",193
"1728","DOCCI ANNA MARIA","via salaria  100",100
"1729","Dnd Immobiliare srl","via dei castelli romani 24",40
"1730","Ing. G. Cannizzaro e C. sas","via Città di Cascia  8",191
"1731","AVENTINO AGENCY srl","Viale Aventino 84",153
"1732","Fabio Arani","Via Trionfale 156",136
"1733","WHITEHOUSE SRL","via Germanico  42",192
"1734","Casanova Consulenze Immobiliari","via della cellulosa  25",166
"1735","Gallo Immobiliare di Claudia Gallo","Via di Santa Prisca 16/B",153
"1736","ALESSIA TUA - RE/MAX","VIA MARIO MENGHINI  34",179
"1737","SP SOLUZIONI IMMOBILIARI","VIA DI TORRE SPACCATA 145",169
"1738","Tema group one","Via Vittorio Metz 45",173
"1739","IMMOBILBEACH","Via Marotta 81",50
"1740","Immobiliare Ciavarella","Via Odescalchi 93",55
"1741","Colosso immobiliare di Riccardo Colferai","via pietro belon  130",169
"1742","LB Casa","Via Nicola Da Guardia Grele 59",133
"1743","Fortune Real Estate","Via Guido Banti 46",191
"1744","Roma Gruppo Immobiliare","via enea 27",181
"1745","Affiliato Tecnorete: STUDIO IMMOBILIARE ESPERO S.R.L.","via Nomentana Nuova 97/99",141
"1746","VILMA VIOLANTI IMMOBILIARE","via dei Colombi 132/C-D",169
"1747","PAOLA PENNA","Via Luigi Bellotti Bon  2",197
"1748","M-Quadro Realty","via Domenico Millelire 6",136
"1749","TECNOGESTIONI IMMOBILIARI SRL","Via Giovanni Antonelli 47",197
"1750","Affiliato Tecnocasa: GASPARRI S.R.L.S.","Via Pietro Gasparri 104",168
"1751","H&F GROUP","Via san tommaso d'aquino  40",136
"1752","GABETTI AVENTINO Aventino Real Estate srl","Viale Aventino 63",153
"1753","Frimm Gianicolense"," Circonvallazione Gianicolense 212",152
"1754","Agenzia Romana Immobiliare -A.R.I. srl","via Rocca Priora 21",179
"1755","EmmeQuadro Case di Danilo Mancuso","Via sardegna 55",187
"1756","Giuliana Vitali","Circonvallazione Gianicolense 132",152
"1757","Maiurano RE sas di Marco Maiurano ","via Giorgio Vigolo 23 23",143
"1758","af servizi immobiliari srls","viale ungheria n. 37 37",39
"1759","TIZIANA SANNA","VIA ANTONIO VIVALDI 10",52
"1760","ARCHILEX di Niccoli Gianluca","Via Gaspare Spontini 27",43
"1761","LOA CASA IMMOBILIARE","VIA ANDREA DORIA 4",53
"1762","Centrale Immobiliare sas","Viale Castellammare 51",54
"1763","NUOVA SALIS S.A.S.","VIA VIGLIENA 10",192
"1764","Trastevere Immobiliare s.r.l.","Corso Vittorio Emanuele II  307",186
"1765","Studio Roma Immobiliare","VIA Poggio Ameno 56",147
"1766","Affiliato Tecnocasa: STUDIO IMMOBILIARE S.PIETRO S.R.L.","via porta cavalleggeri 49/51",165
"1767","Immobiliare di S.R","via cassia  929",189
"1768","Euro Casa 2000 srl","via avicenna 6",146
"1769","Intermediazioni Immobiliari","Via Luigi Viola 51",124
"1770","MA.CA. SRL","via boezio 6",193
"1771","Immobiliare Villa Bonelli ","Via G. Fuggetta 15-19",149
"1772","Frimm","via costantino mortati 92",156
"1773","Gabriella Zazza Immobiliare","Via Dell'Usignolo 15/A",161
"1774","Affiliato Tecnocasa: TIBURTINA 2000 FIL.DURANTINI SRL","Via Tiburtina 545",156
"1775","AT STUDIO IMMOBILIARE","Via Asiago  2",195
"1776","Roberto De Vincenzi","Via Dora 2",198
"1777","Rio Verde Immobiliare di Mantovani Ketti","Via Rieti  11",40
"1778","EUROIMMOBILIARE CASE","Via dei Latini 9",48
"1779","Stile Immobiliare","Via A. Bocchi 234",125
"1780","MBC DI VASTOLA BARBARA","via Reggiolo  26A",125
"1781","Studio Villa Chigi Srl","Salita di Poggio San Lorenzo 12",199
"1782","Affiliato Tecnocasa: EMME IMMOBILIARE S.R.L.","Via M. Menghini 40",179
"1783","LLOYD AGENCY","via filippo nicolai 40",136
"1784","Immobiliare Appia SAS","via Raffaele de Cesare 149",179
"1785","AG.I.S. di Claudio Spaziani","Via Prospero Farinacci 41",165
"1786","CASA INVEST DI GIUSEPPE SULLUTRONE","Via di Casal Boccone 98 82",137
"1787","LF-costruzioni","via Salaria 83",100
"1788","Habitat Immobiliare","Via Mantova 44",198
"1789","Ditta Individuale Pina Fumo","Via dell'aeroporto 76",175
"1790","Mediazioniroma ","Via Benedetto Croce  6",142
"1791","GM HOUSE","via Antonio Santovetti - p.terra  88 - int 3",46
"1792","Afh Spa","Via Pietro Tacchini  32",100
"1793","Affiliato Tecnocasa: STUDIO APPIO LATINO S.R.L.","via latina  284/b",179
"1794","ACQUIRENTE IMMOBILIARE di VALENTINA DI GIOIA","VIA PORTUENSE 104",153
"1795","Affiliato Tecnocasa: STUDIO PRATI MAZZINI S.R.L.","VIA FAA' DI BRUNO  20/22 ",195
"1796","R.C.Immobili S.R.L.","Piazza Zama 3",183
"1797","Agenzia Sistina di Bracaccini Francesco","Via Sistina 30",187
"1798","Affiliato Tecnorete: MAGLIANA NUOVA MEDIAZIONI S.R.L.S","via ernesto nathan 9",146
"1799","O.P. Immobiliare","G. Amendola 8",30
"1800","AG. IMM.RE CAPITAL DI ATTONI SEBASTIANO","VIA DE GASPERI ALCIDE  11",48
"1801","IPI INTERMEDIAZIONE SRL -  Roma Terziario","Via Ezio 49",192
"1802","Affiliato Tecnocasa: NUOVO INFERNETTO S.R.L.","via egna 8/A",124
"1803","STUDIO VALENTINI","Via del Faro 130",54
"1804","Immobil FO.RO.","Via Elvidio Prisco 31",174
"1805","Mosaico Immobiliare s.r.l.","Via Luigi Arati  15a",151
"1806","Scipioni Immobiliare","Via Tuscolana 859",174
"1807","dreamshouse ","Via Casignana 44",118
"1808","FRI CONSULTING S.R.L.","via Cristoforo Colombo 177",147
"1809","Home Service Immobiliare","Via Giancita Pezzana  21",197
"1810","Profim srl ","viale paolo orlando  58",122
"1811","La Meridiana Gestioni Immobiliari di Marco Pozzoli","Via Colonnello Tommaso Masala 42",148
"1812","Agente Immobiliare Giacomo Costantino","via cassia  496",189
"1813","Immobiliare Noidue","Via Francesco Donati 54",126
"1814","Affiliato Tecnorete: IMMOBILIARE LA RUSTICA S.R.L.","via della rustica 273/E",155
"1815","Quadrifoglio Immobiliare Baldissera"," Via Baldissera 18",133
"1816","Affiliato Tecnorete: IMMOBILIARE CASAL DE PAZZI S.R.L.S","VIALE MARX 142",137
"1817","AGENZIA IMMOBILIARE GM DI MACRI' GIULIO","VIALE DEI CEDRI  47",30
"1818","ditta individuale","via Salaria,  251B",15
"1819","area-re agenzia trastevere","Viale di Trastevere 65",153
"1820","Cento Case Immobiliare","Via Marco Dino  Rossi 12",173
"1821","MONOPOLI ","via Canino 9",191
"1822","casain 86 s r l","via montesanto 1",195
"1823","Sangermani Gruppo Immobiliare Srl","corso trieste 155",198
"1824","Rolocasa Europa S.r.l","Via della Giuliana 73",195
"1825","DG Immobiliare","via Laurentina 615",143
"1826","Euro Service sas","Via Emanuele Filiberto 29",185
"1827","Euroimmobiliare s.r.l.","via Confalonieri 19",40
"1828","Sergio Oddi","Via Casale Agostinelli 167",118
"1829","AG.TECNICA IMM.RE D'ALESIO ATID S.A.S.","VIA GIUSEPPE CANDIANI 71/73",155
"1830","Gabetti Agency Corporate - Roma Corporate","Via Salaria  290",199
"1831","DEA CASA","VIA D'ASCANIO 1",186
"1832","Dri Silvia","Via Luigi Rizzo  50",136
"1833","SCB Broker sas","Corso Vittorio Emanuele II 284",186
"1834","GEA Gestione Immobili ","Via Carmelo Maestrini 340",128
"1835","PALATINO IMMOBILIARE","via dei fienili 65",186
"1836","Affiliato Tecnocasa: PIGNETO ROBERTO MALATESTA S.R.L.","via Roberto Malatesta 16",176
"1837","Affiliato Tecnocasa: IMMOBILIARE CIPRO S.R.L.","Via Cipro 51",136
"1838","Impart Srl","Piazza San Domenico Savio  13",181
"1839","BAVARO IMMOBILIARE","via Matteotti  1",15
"1840","Immobiliare Salaria di Capponi Andrea","Via Salaria  300/B",199
"1841","Studio Monteverde SRL","Via Giovannni de Calvi 33/35",151
"1842","Ricci Immobiliare","Via Monti della Valchetta 82",188
"1843","Luisa Gallotti","via Michelini Tocci  82",136
"1844","PR Abitare","Viale Giulio Cesare 137",192
"1845","Affiliato Tecnocasa: STUDIO IMMOBILIARE FARNESINA S.R.L.S","VIA DEGLI ORTI DELLA FARNESINA 38/b",135
"1846","Affiliato Tecnocasa: STUDIO VILLA ADA S.R.L.","Via Chiana 47/49",199
"1847","Mix Mediazioni di Daniele Latini","Via San Martino della Battaglia 31",185
"1848","SOGECOCASE","Via teodoro monticelli 5",197
"1849","PECCI IMMOBILIARE","Via Letizia In Fiore 0",42
"1850","Il Mattone","Via Del Pianeta Terra 60",144
"1851","PROFESSIONECASA BRAVETTA PISANA","VIA di BRAVETTA 325",164
"1852","Solo Affitti Roma11 - Eur - Gens Srl","Via dei Corazzieri 17",143
"1853","Affiliato Tecnorete: BALDUINA IMMOBILIARE S.R.L.S","PIAZZA DELLA BALDUINA 24",136
"1854","Affiliato Tecnorete: STUDIO IMMOBILIARE CONCA D'ORO S.R.L.","VIA VAL PADANA 49/50/51",141
"1855","Home By Home","Via Cardinale Enrico Dante 1",123
"1856","immobilservice ag.2","via madrid 18",43
"1857","Sogni di Casa - D.I. Marinella Locorotondo","Via Michele di Lando 88/A",162
"1858","MIRO REAL ESTATE SRL"," Via Ignazio Scimonelli 248/F",173
"1859","MDM IMMOBILIARE","via degli Scipioni 71",192
"1860","Marco Rossi","Via Flaminia  964",189
"1861","IMMOBILIARE FIORAVANTI","VIA TEODORO VALFRE'  17",165
"1862","Studio Legale Immobiliare Carbotti & Dioni","
",NA
"1863","SVILUPPO IMMOBILIARE REAL ESTATE","via Mosca 36",142
"1864","Immobilare Boccea s.r.l.","Via di Boccea  10,400",100
"1865","Bruzzese Immobiliare ","Via Po  45",198
"1866","HY-GEST IMMOBILIARE","Via Etruria 56",183
"1867","Affiliato Tecnocasa: TORRINO MEZZOCAMMINO 2009 S.R.L.","LARGO ACHILLE ALBACINI 19",127
"1868","immobiliare centro","via Bettiol,190 19",166
"1869","Mediazioni & Futuro  ","via dei cantelmo 65",148
"1870","Affiliato Tecnocasa: CASE IN ROMA S.R.L.","PIAZZA F.M. LANTE 23/24",147
"1871","Case Belle Immobiliare","via merulana 131",185
"1872","Gabetti - Agenzia Malatesta - ROMA","via erasmo gattamelata 126/b",176
"1873","IMMOBILIARE M. K. SRL","VIA BRAGAGLIA ANTON GIULIO  36",123
"1874","Centocase Srl","Via Costantino Maes 83",162
"1875","GRImmobiliare","Via Palumbo  4",195
"1876","Punto Immobiliare Provincie srl","Via della Lega Lombarda  24/26",162
"1877","Ge.Di.Ma Solution srl","Via Leopoldo Nobili 44",146
"1878","Affiliato Tecnocasa: GUADALUPE MEDIAZIONI S.R.L.","Via Vincenzo Troya 32/A",135
"1879","RO.MA. Services di Patrizia Rossi","Via Francesco Benaglia 10",153
"1880","hd real estate srl","via Giuseppe Tuccimei 1",197
"1881","Studio Immobiliare Carmine Trabucco","Via Giuseppe Montanelli 11",195
"1882","Spinelli Immobiliare","Viale Europa  98",144
"1883","Affiliato Tecnorete: Studio Immobiliare Cavour S.r.l.","Via Leonina 25",184
"1884","Studio Micara ","piazza del mercato  10",44
"1885","Rapisarda RE","Piazza Albania 12",153
"1886","Affiliato Tecnocasa: IMMOBILIARE OSTIA 2010 S.R.L.","VIA PIOLA CASELLI 33",122
"1887","Antico Portale","Via Sacrofano-Primaporta 2464",60
"1888","enterhouse srl","viale roma 44",43
"1889","Affiliato Tecnorete: STUDIO IMMOBILIARE TALENTI 2 S.R.L.","Via Franco Sacchetti  18",137
"1890","Gamma Immobiliare","via gaetano donizzetti 24",198
"1891","Frustagli & Bonanni Agency","via vittorio veneto 7",187
"1892","Il Consulente Immobiliare di Bruno Strambi","VIA DEGLI SCIPIONI 167",192
"1893","Berdini Immobiliare","Via Monte Zebio 28",195
"1894","Affiliato Tecnocasa: STUDIO MONTEVERDE NUOVO S.R.L.","PIAZZA SAN GIOVANNI DI DIO 6",152
"1895","Capuani Carlo - ditta individuale","va della Frezza 59",186
"1896","Affiliato Tecnocasa: IMMOBILIARE GLICINI S.R.L.","via dei glicini 64/e",172
"1897","REDevelopment","Via Cassiodoro 19",193
"1898","INTERNAZIONALE IMMOBILIARE","VIA DI PORTA PINCIANA  34",187
"1899","Easy Homes Real Estate","Roma snc",186
"1900","DITTA INDIVIDUALE di IUBEI DAVIDE","via ceretana 8",118
"1901","Loizzi Immobiliare","Via Emilio Faa di Bruno 15",195
"1902","Affiliato Tecnocasa: A.M. MONTI DI CRETA S.R.L.","Via Baldo Degli Ubaldi  208",167
"1903","Immobiliare Studio Due S.R.L.","Via Ignazio Guidi 44",147
"1904","Fenice Immobiliare di Carlo Di Gennaro","Viale Aldo Ballarin 4",142
"1905","DEDO Intermediazione Immobiliare","via B. V. del Carmelo 97",144
"1906","Studio Immobiliare","viale Medaglie d'Oro 414",136
"1907","Roma House Aurelia","Via Manfredi Porena 24",166
"1908","Affiliato Tecnorete: MOSTACCIANO 2014 S.R.L.S","VIA FIUME GIALLO 403",144
"1909","Affiliato Tecnocasa: STELLA POLARE 2015 S.R.L.S","VIALE PAOLO ORLANDO 17",122
"1910","REFIN CASA","Viale Manzoni 49",52
"1911","PROGET S.R.L. UNIPERSONALE","Via Appia Nuova 37",183
"1912","Affiliato Stimacasa Torrevecchia Srl","Via Pietro Maffi 177",168
"1913","Affiliato Tecnocasa: CASE IN ROMA S.R.L.","via s. francesco a ripa 57",153
"1914","zannini immobiliare","viale gorizia  51b",193
"1915","houservice sas di Carmela Triolo e C.","VIALE RATTO DELLE SABINE 45 45",131
"1916","Siace","Viale Cesare Pavese 410",144
"1917","Affiliato Tecnorete: STUDIO LIBIA S.R.L.","Via Tripolitania 106/108",199
"1918","M R P Immobiliare","Via Gramsci 24",197
"1919","Agenzia Immobiliare  Amodio","Via Scalette 3",41
"1920","Solo Affitti - Agenzia di Pomezia 1","Via Roma  73",71
"1921","Professionecasa - FENICE IMMOBILIARE","VIA VESTRICIO SPURINNA 115",175
"1922","DIESSE IMMOBILIARE del Geom. Giuseppe Di Stefano","Via A. Catalani 4",199
"1923","Savoia Immobiliare S.R.L.","Via Savoia 78",198
"1924","Immobilpiu di Rosci Vincenzo","Circonvallazione Appia 6",179
"1925","M.Rachele Immobiliare di Monge Rachele","Via Fraconalto 64",166
"1926","FRIMM ACILIA","via amedeo bocchi 352",125
"1927","Natascia Geraldi D.I.","Viale delle medaglie d'oro 399",136
"1928","Immobiliare S.Lorenzo ","via tiburtina 100",185
"1929","DOMUS IMMOBILIARE","Via Giuseppe Gioachino Belli 27",193
"1930","Studio Immobiliare Tocchi","Via Francesco Saverio Sprovieri 6",1038
"1931","Realty Italia Immobiliare Srl","Via Guidubaldo del Monte 61",193
"1932","Affiliato Tecnorete: BALDUINA MEDIAZIONI 2 S.R.L.S","PIAZZALE DELLE MEDAGLIE D'ORO  33",136
"1933","Ambiente Casa Immobiliare S.R.L.","Via Foce Micina 58",54
"1934","cinqueimmobiliare","Via Monopoli 27",133
"1935","Studio Imm.re Franco Credentino","via nomentana  873",137
"1936","De Weck Marie Gabrielle","Via Lima  48",198
"1937","Affiliato Tecnorete: STUDIO TRIESTE 2 S.R.L.","viale regina margherita 200/E",198
"1938","ROMA RE IMMOBILIARE","VIA TAZIO NUVOLARI   161",142
"1939","MAER Costruzioni Srl","Via dei Due Ponti 253",189
"1940","PRINCIPATO IMMOBILIARE","Via Cassia Nuova 48",191
"1941","katiuscia immobiliare srl","via dei berio  202",155
"1942","Affiliato Tecnorete: STUDIO PARIOLI S.R.L.S","Viale Bruno Buozzi 35",197
"1943","Solo Affitti - Agenzia di Roma 15","Via Circonvallazione Trionfale 151",195
"1944","Progetto Immobiliare Ria","Via Mondovì 15",183
"1945","Andes Real Estate S.r.l.","Viale Giulio Cesare 62",192
"1946","Affiliato Tecnorete: IMMOBILIARE COLLATINO S.R.L.","via cherso 164",177
"1947","Crociani Real Estate","via orazio pulvillo 21",175
"1948","Mediacom snc","via san calepodio 35",152
"1949","BandB Group"," Largo dello zodiaco  11",61
"1950","Affiliato Tecnorete: STUDIO IMMOBILIARE JONIO S.R.L.","Viale Jonio  374",141
"1951","M.G. SERVICE Srl","Via Martiri di Belfiore  84",40
"1952","selezione casa sas","via cola di rienzo 52",192
"1953","Immobiliare Barberini","via Lorenzo Bonincontri  44",147
"1954","èntheos","Via Toscana 30",187
"1955","media immobil srl","via s.m. ausiliatrice  61a",181
"1956","Flat Studio Immobiliare","Via Sangemini 15",135
"1957","CASE PIPERNO","Via San Nicola de' Cesarini 3",186
"1958","Evoluzione Casa S.r.l.","Via Tor De Schiavi 69A",172
"1959","casa castagna "," Piazza Giovine Italia 6",195
"1960","Diamond Immobili","Via Tommaso da Celano 119",179
"1961","INT Immobiliare srl","Via Ajiaccio 1",198
"1962","Immobiliare Cirulli","Via Albalonga 7",183
"1963","GruppoLiri Immobiliare","Via Collatina 303/B",155
"1964","Affiliato Tecnocasa: MEDIAZIONI CONCA D'ORO S.R.L.","VIA VALSAVARANCHE 65",141
"1965","Style Edil S.R.L.","Via Varrone 45",40
"1966","Finvest s.a.s.","Via Cola di Rienzo  271",192
"1967","Agenzia Immobiliare Frimm di Danilo Rituale","Via Arrigo Gavila 32",179
"1968","Azione Casa di Augusto D'Anna","Via dei Colombi  126",169
